2026-05-03 19:47:52,460 | DatasetGeneration | INFO | generate_dataset:390 | ============================================================
2026-05-03 19:47:52,460 | DatasetGeneration | INFO | generate_dataset:391 | DATASET GENERATION PIPELINE
2026-05-03 19:47:52,460 | DatasetGeneration | INFO | generate_dataset:392 | ============================================================
2026-05-03 19:47:52,490 | DatasetGeneration | INFO | generate_dataset:401 | Step 1: Creating benchmark program characteristics...
2026-05-03 19:47:52,490 | DatasetGeneration | INFO | generate_dataset:403 |   Created 30 benchmark programs
2026-05-03 19:47:52,502 | DatasetGeneration | INFO | generate_dataset:406 | Step 2: Extracting features (Autophase + CFG)...
2026-05-03 19:48:02,274 | DatasetGeneration | INFO | generate_dataset:409 |   Feature matrix shape: (30, 88)
2026-05-03 19:48:02,274 | DatasetGeneration | INFO | generate_dataset:412 | Step 3: Initializing pass manager...
2026-05-03 19:48:02,276 | DatasetGeneration | INFO | generate_dataset:418 | Step 4: Generating priority vectors...
2026-05-03 19:48:02,278 | DatasetGeneration | INFO | generate_dataset:426 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-05-03 19:48:05,119 | DatasetGeneration | INFO | generate_dataset:453 |   Total samples: 450
2026-05-03 19:48:05,119 | DatasetGeneration | INFO | generate_dataset:454 |   Feature dimension: 92
2026-05-03 19:48:05,120 | DatasetGeneration | INFO | generate_dataset:455 |   Class distribution: [  8  79   2  20   9 163   0  47 110  12]
2026-05-03 19:48:05,122 | DatasetGeneration | INFO | generate_dataset:458 | Step 6: Data augmentation...
2026-05-03 19:48:05,243 | DatasetGeneration | INFO | generate_dataset:481 |   After augmentation: 1350 samples
2026-05-03 19:48:05,243 | DatasetGeneration | INFO | generate_dataset:484 | Step 7: Train/val/test split...
2026-05-03 19:48:05,245 | DatasetGeneration | INFO | generate_dataset:501 |   Train: 944, Val: 202, Test: 204
2026-05-03 19:48:05,290 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-05-03 19:48:05,290 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION COMPLETE
2026-05-03 19:48:05,290 | DatasetGeneration | INFO | generate_dataset:521 | Total: 1350 samples, 92 features, 10 classes
2026-05-03 19:48:05,291 | DatasetGeneration | INFO | generate_dataset:522 | ============================================================
