2026-03-29 13:38:14,784 | Ensemble | INFO | train:78 | Training Ensemble on 944 samples
2026-03-29 13:38:14,784 | Ensemble | INFO | train:83 | --- Training random_forest ---
2026-03-29 13:38:30,257 | Ensemble | INFO | train:83 | --- Training xgboost ---
2026-03-29 13:38:31,567 | Ensemble | INFO | train:83 | --- Training dnn ---
2026-03-29 13:38:32,062 | Ensemble | INFO | _optimize_weights:178 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 13:38:33,029 | Ensemble | INFO | train:127 | Ensemble training complete in 17.30s
2026-03-29 13:38:33,030 | Ensemble | INFO | train:128 | Optimized weights: {'random_forest': 0.3333, 'xgboost': 0.3333, 'dnn': 0.3333}
2026-03-29 13:38:33,030 | Ensemble | INFO | train:131 | Validation F1 scores:
2026-03-29 13:38:33,030 | Ensemble | INFO | train:133 |   random_forest: accuracy=0.9109, f1=0.8248
2026-03-29 13:38:33,030 | Ensemble | INFO | train:133 |   xgboost: accuracy=0.9208, f1=0.8437
2026-03-29 13:38:33,030 | Ensemble | INFO | train:133 |   dnn: accuracy=0.9604, f1=0.9407
2026-03-29 13:38:33,030 | Ensemble | INFO | train:133 |   ensemble: accuracy=0.9158, f1=0.8291
