Method,Accuracy,F1 (macro),F1 (weighted),Pred Time (ms),Time Speedup,Avg Speedup,Speedup vs O3,% Improved,Size Reduction %,Adaptability
Random Forest,0.9616,0.9519,0.9608,0.392,-,,,,,
XGBoost,0.9707,0.9697,0.9705,0.483,-,,,,,
DNN,0.9909,0.996,0.9909,0.531,-,,,,,
Ensemble,0.9899,0.9892,0.9899,1.137,-,,,,,
Base Paper (DT),0.9141,0.8786,0.9131,0.001,-,,,,,
Base Paper (KNN),0.9899,0.9794,0.9898,0.097,-,,,,,
Our Approach (Ensemble),0.9899,0.9892,0.9899,1.1041971168132745,1.7935145391791756,1.0162900000000001,0.779819496196249,0.0,13.323915223152074,0.6666666666666666
-O0,,,,,,1.0,-,-,,
-O1,,,,,,1.1235933333333332,-,-,,
-O2,,,,,,1.2574333333333334,-,-,,
-O3,,,,,,1.306876666666667,-,-,,
