Method,Accuracy,F1 (macro),F1 (weighted),Precision,Recall,Pred Time (ms),Time Speedup,Avg Speedup,Speedup vs O3,% Improved,Size Reduction %,Adaptability
Random Forest,0.9956,0.9951,0.9956,0.9962,0.994,0.11299999999999999,-,,,,,
XGBoost,0.9893,0.9849,0.9893,0.9886,0.9815,0.598,-,,,,,
DNN,0.9936,0.9896,0.9935,0.9947,0.9853,0.664,-,,,,,
Ensemble,0.9947,0.9923,0.9947,0.9948,0.99,0.824,-,,,,,
Base Paper (DT),0.9573,0.9416,0.9573,0.9451,0.9385,0.0,-,,,,,
Base Paper (KNN),0.9933,0.9928,0.9933,0.9932,0.9924,0.124,-,,,,,
Our Approach (Ensemble),0.9947,0.9923,0.9947,0.9948,0.99,0.9217742284138998,0.414885173537551,1.0076566666666666,0.7776379776396343,0.0,14.693649106736586,0.6777777777777777
-O0,,,,,,,,1.0,-,-,,
-O1,,,,,,,,1.1234366666666666,-,-,,
-O2,,,,,,,,1.2347733333333333,-,-,,
-O3,,,,,,,,1.2988666666666666,-,-,,
