2026-05-04 00:36:22,342 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-05-04 00:36:22,342 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION PIPELINE
2026-05-04 00:36:22,342 | DatasetGeneration | INFO | generate_dataset:521 | ============================================================
2026-05-04 00:36:22,377 | DatasetGeneration | INFO | generate_dataset:530 | Step 1: Creating benchmark program characteristics...
2026-05-04 00:36:22,378 | DatasetGeneration | INFO | generate_dataset:535 |   Created 40 benchmark programs (C: 30, C++: 5, Python: 5)
2026-05-04 00:36:22,378 | DatasetGeneration | INFO | generate_dataset:538 | Step 2: Extracting features (Autophase + CFG)...
2026-05-04 00:36:22,903 | DatasetGeneration | INFO | generate_dataset:541 |   Feature matrix shape: (40, 91)
2026-05-04 00:36:22,903 | DatasetGeneration | INFO | generate_dataset:544 | Step 3: Initializing pass manager...
2026-05-04 00:36:22,904 | DatasetGeneration | INFO | generate_dataset:550 | Step 4: Generating priority vectors...
2026-05-04 00:36:22,905 | DatasetGeneration | INFO | generate_dataset:558 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-05-04 00:36:25,218 | DatasetGeneration | INFO | generate_dataset:585 |   Total samples: 600
2026-05-04 00:36:25,218 | DatasetGeneration | INFO | generate_dataset:586 |   Feature dimension: 95
2026-05-04 00:36:25,218 | DatasetGeneration | INFO | generate_dataset:587 |   Class distribution: [ 11 100  21  40  10 209   5  29 157  18]
2026-05-04 00:36:25,218 | DatasetGeneration | INFO | generate_dataset:590 | Step 6: Data augmentation...
2026-05-04 00:36:25,924 | DatasetGeneration | INFO | generate_dataset:613 |   After augmentation: 30000 samples
2026-05-04 00:36:25,924 | DatasetGeneration | INFO | generate_dataset:616 | Step 7: Train/val/test split...
2026-05-04 00:36:25,957 | DatasetGeneration | INFO | generate_dataset:633 |   Train: 21000, Val: 4500, Test: 4500
2026-05-04 00:36:26,023 | DatasetGeneration | INFO | generate_dataset:651 | ============================================================
2026-05-04 00:36:26,023 | DatasetGeneration | INFO | generate_dataset:652 | DATASET GENERATION COMPLETE
2026-05-04 00:36:26,023 | DatasetGeneration | INFO | generate_dataset:653 | Total: 30000 samples, 95 features, 10 classes
2026-05-04 00:36:26,024 | DatasetGeneration | INFO | generate_dataset:654 | ============================================================
