Method,Accuracy,F1 (macro),F1 (weighted),Pred Time (ms),Time Speedup,Avg Speedup,Speedup vs O3,% Improved,Size Reduction %,Adaptability
Random Forest,0.9167,0.728,0.9082,0.896,-,,,,,
XGBoost,0.9216,0.78,0.9234,0.094,-,,,,,
DNN,0.9657,0.9006,0.9645,0.015000000000000001,-,,,,,
Ensemble,0.9314,0.7974,0.9331,0.875,-,,,,,
Base Paper (DT),0.2941,0.1567,0.2856,0.003,-,,,,,
Base Paper (KNN),0.3333,0.2331,0.3211,0.306,-,,,,,
Our Approach (Ensemble),0.9314,0.7974,0.9331,0.854348435121424,22.518193246905323,1.0430266666666668,0.8123758980880402,6.666666666666667,22.70958960976963,0.7388888888888889
-O0,,,,,,1.0,-,-,,
-O1,,,,,,1.1149799999999999,-,-,,
-O2,,,,,,1.2378166666666668,-,-,,
-O3,,,,,,1.28662,-,-,,
